first_5_runs_allowed,pitcher_id,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,pitcher_hr_pct,pitcher_wins,pitcher_losses,pitcher_exp_er_5ip,pitcher_exp_h_5ip,pitcher_exp_bb_5ip,pitcher_exp_k_5ip,pitcher_days_rest,is_home,year,date,team_id,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,event_id,is_lhp,opp_batting_first5,platoon_score,opp_heat_14,pitcher_team_heat_14,heat_differential
5,33839,Kyle Freeland,4.546,1.412,6.768,2.738,2.472,0.758,174.2,0.171,0.0248,9.0,11.0,2.53,5.54,1.52,3.76,,1,2022,2022-04-08,19,5.99,4.0,2.97,1.03,401354257,1,2.505,2.505,1.5,1.0,0.5
2,39251,Walker Buehler,4.015,1.292,8.031,2.354,3.412,0.931,65.0,0.2117,0.0292,6.0,3.0,2.23,5.15,1.31,4.46,,0,2022,2022-04-08,27,3.0,2.5,2.23,0.27,401354257,0,3.996,3.996,1.0,1.5,-0.5
2,42450,Joe Ryan,3.551,1.102,9.245,2.878,3.213,0.414,147.0,0.25,0.0331,13.0,8.0,1.97,3.91,1.6,5.14,,1,2022,2022-04-08,12,9.94,7.95,3.61,4.34,401427971,0,3.969,3.969,2.786,1.857,0.929
1,32175,Robbie Ray,3.714,1.19,10.095,2.952,3.419,0.636,189.0,0.2735,0.0413,12.0,12.0,2.06,4.31,1.64,5.61,,0,2022,2022-04-08,9,3.99,3.98,2.51,1.47,401427971,1,7.915,7.915,1.857,2.786,-0.929
0,41216,Logan Webb,2.905,1.161,7.637,2.296,3.327,1.372,192.1,0.2071,0.014,15.0,9.0,1.61,4.53,1.28,4.24,,1,2022,2022-04-08,28,2.01,2.0,1.46,0.54,401354258,0,1.497,1.497,6.0,0.0,6.0
3,35241,Sandy Alcantara,2.287,0.982,8.164,1.972,4.14,1.183,228.2,0.2336,0.0181,14.0,9.0,1.27,3.81,1.1,4.54,,0,2022,2022-04-08,26,2.01,1.5,0.97,0.53,401354258,0,2.002,2.002,0.0,6.0,-6.0
4,41165,Josiah Gray,5.04,1.363,9.352,4.008,2.333,0.516,148.2,0.2373,0.0586,7.0,10.0,2.8,4.59,2.23,5.2,,1,2022,2022-04-08,21,2.0,0.5,2.2,-1.7,401354260,0,3.0,3.0,0.143,0.0,0.143
3,28976,Max Scherzer,2.295,0.91,10.731,1.489,7.208,0.487,145.1,0.3062,0.023,11.0,5.0,1.27,3.72,0.83,5.96,,0,2022,2022-04-08,20,3.51,3.0,1.42,1.58,401354260,0,0.504,0.504,0.0,0.143,-0.143
7,32811,Jose Berrios,5.233,1.419,7.797,2.355,3.311,0.685,172.0,0.1979,0.0385,12.0,7.0,2.91,5.78,1.31,4.33,,1,2022,2022-04-08,13,5.01,4.5,3.51,0.99,401354263,0,6.002,6.002,6.0,3.0,3.0
7,33203,Jon Gray,3.965,1.133,9.489,2.762,3.436,0.791,127.1,0.2572,0.0326,7.0,7.0,2.2,4.13,1.53,5.27,,0,2022,2022-04-08,14,7.5,6.0,3.25,2.75,401354263,0,4.505,4.505,3.0,6.0,-3.0
1,29155,Charlie Morton,4.343,1.233,10.727,3.297,3.254,0.655,172.0,0.2816,0.0385,9.0,6.0,2.41,4.33,1.83,5.96,,1,2022,2022-04-08,17,2.51,2.51,2.41,0.1,401354254,0,2.996,2.996,3.929,0.071,3.858
7,39799,Reiver Sanmartin,6.316,1.667,7.421,4.579,1.621,1.222,57.0,0.1836,0.0312,4.0,4.0,3.51,5.79,2.54,4.12,,0,2022,2022-04-08,15,3.51,3.0,3.66,-0.66,401354254,1,2.506,2.506,0.071,3.929,-3.858
3,4326697,Reid Detmers,3.767,1.209,8.512,3.209,2.652,0.578,129.0,0.2263,0.0241,7.0,6.0,2.09,4.26,1.78,4.73,,1,2022,2022-04-09,18,1.51,1.0,1.64,-0.64,401354256,1,1.004,1.004,4.714,3.714,1.0
2,31654,Jake Odorizzi,4.411,1.329,7.295,2.969,2.457,0.475,106.1,0.1898,0.0309,6.0,6.0,2.45,5.0,1.65,4.05,,0,2022,2022-04-09,3,2.02,1.0,2.0,-1.0,401354256,0,1.0,1.0,3.714,4.714,-1.0
0,32968,Merrill Kelly,3.373,1.139,7.961,2.744,2.902,0.779,200.1,0.2201,0.0261,13.0,8.0,1.87,4.17,1.52,4.42,,1,2022,2022-04-09,25,2.0,0.99,1.42,-0.43,401354262,0,1.992,1.992,2.286,1.5,0.786
0,33244,Sean Manaea,4.956,1.297,8.886,2.848,3.12,0.633,158.0,0.2325,0.0432,8.0,9.0,2.75,4.91,1.58,4.94,,0,2022,2022-04-09,29,4.98,1.99,2.6,-0.61,401354262,1,0.992,0.992,1.5,2.286,-0.786
2,42584,Drew Rasmussen,2.836,1.041,7.705,1.911,4.032,0.905,146.0,0.214,0.0223,11.0,7.0,1.58,4.14,1.06,4.28,,1,2022,2022-04-09,1,7.97,3.99,2.02,1.97,401354264,0,0.008,0.008,9.286,5.643,3.643
5,31061,Jordan Lyles,4.425,1.385,7.24,2.615,2.769,0.676,179.0,0.186,0.0336,12.0,11.0,2.46,5.47,1.45,4.02,,0,2022,2022-04-09,30,0.02,0.01,1.71,-1.7,401354264,0,3.992,3.992,5.643,9.286,-3.643
2,41167,Casey Mize,5.4,1.5,3.6,1.8,2.0,0.625,10.0,0.0889,0.0222,0,1.0,3.0,6.5,1.0,2.0,,1,2022,2022-04-09,4,1.02,0.99,2.55,-1.56,401354266,0,4.981,4.981,3.0,2.786,0.214
0,34943,Dylan Cease,2.201,1.109,11.103,3.815,2.91,0.65,184.0,0.3039,0.0214,14.0,8.0,1.22,3.42,2.12,6.17,,0,2022,2022-04-09,6,9.96,4.98,1.97,3.01,401354266,0,0.992,0.992,2.786,3.0,-0.214
2,32082,Sonny Gray,3.096,1.133,8.834,2.718,3.25,0.798,119.2,0.2398,0.0225,8.0,5.0,1.72,4.15,1.51,4.91,,1,2022,2022-04-09,12,9.94,7.95,3.35,4.6,401354277,0,3.969,3.969,2.714,1.786,0.928
1,41221,Logan Gilbert,3.207,1.183,8.456,2.381,3.551,0.608,185.2,0.2272,0.0248,13.0,6.0,1.78,4.59,1.32,4.7,,0,2022,2022-04-09,9,3.99,3.98,2.23,1.75,401354277,0,7.915,7.915,1.786,2.714,-0.928
2,32116,Miles Mikolas,3.295,1.034,6.813,1.737,3.923,0.848,202.1,0.1901,0.0311,12.0,13.0,1.83,4.21,0.96,3.79,,1,2022,2022-04-09,23,5.01,4.0,2.28,1.72,401354275,0,4.491,4.491,2.0,5.0,-3.0
