first_5_runs_allowed,pitcher_id,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,pitcher_exp_er_5ip,pitcher_exp_h_5ip,pitcher_exp_bb_5ip,pitcher_exp_k_5ip,pitcher_days_rest,is_home,year,date,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,is_lhp,game_key
0,31730,Noah Syndergaard,3.957,1.259,6.371,2.079,3.065,0.761,134.2,0.1681,2.2,5.14,1.15,3.54,4,1,2022,2022-04-10,1.51,1.0,1.75,-0.75,0,2022-04-10|Los Angeles Angels|Houston Astros
1,6341,Justin Verlander,1.749,0.829,9.514,1.491,6.379,0.628,175.0,0.2778,0.97,3.31,0.83,5.29,4,0,2022,2022-04-10,2.02,1.0,0.52,0.48,0,2022-04-10|Los Angeles Angels|Houston Astros
0,32804,Zach Eflin,4.069,1.13,7.779,1.795,4.333,0.839,75.2,0.2077,2.26,4.65,1.0,4.32,4,1,2022,2022-04-10,2.51,1.01,1.81,-0.8,0,2022-04-10|Philadelphia Phillies|Oakland Athletics
0,39434,Daulton Jefferies,5.754,1.381,6.445,1.841,3.5,0.887,39.1,0.1628,3.2,5.88,1.02,3.58,4,0,2022,2022-04-10,3.0,0.0,2.45,-2.45,0,2022-04-10|Philadelphia Phillies|Oakland Athletics
0,30981,Corey Kluber,4.335,1.213,7.628,1.152,6.619,0.582,164.0,0.2017,2.41,5.43,0.64,4.24,4,1,2022,2022-04-10,7.96,3.99,2.86,1.13,0,2022-04-10|Tampa Bay Rays|Baltimore Orioles
4,4717904,Tyler Wells,4.273,1.143,6.628,2.442,2.714,0.601,103.2,0.1797,2.37,4.36,1.36,3.68,4,0,2022,2022-04-10,0.02,0.01,1.63,-1.62,0,2022-04-10|Tampa Bay Rays|Baltimore Orioles
5,42409,Tarik Skubal,3.532,1.16,8.985,2.457,3.656,0.89,117.2,0.2453,1.96,4.44,1.37,4.99,4,1,2022,2022-04-10,1.02,0.99,1.51,-0.52,1,2022-04-10|Detroit Tigers|Chicago White Sox
1,33763,Michael Kopech,3.552,1.192,7.935,4.307,1.842,0.559,119.1,0.2126,1.97,3.57,2.39,4.41,4,0,2022,2022-04-10,9.96,4.98,2.72,2.26,0,2022-04-10|Detroit Tigers|Chicago White Sox
6,40916,Ian Anderson,5.018,1.52,7.851,4.371,1.796,0.938,111.2,0.1968,2.79,5.17,2.43,4.36,4,1,2022,2022-04-10,2.51,2.51,2.79,-0.28,0,2022-04-10|Atlanta Braves|Cincinnati Reds
3,39635,Hunter Greene,4.457,1.214,11.789,3.45,3.417,0.444,125.2,0.3089,2.48,4.15,1.92,6.55,4,0,2022,2022-04-10,3.51,3.0,2.62,0.38,0,2022-04-10|Atlanta Braves|Cincinnati Reds
2,33793,Erick Fedde,5.811,1.63,6.661,4.11,1.621,0.747,127.0,0.164,3.23,5.87,2.28,3.7,4,1,2022,2022-04-10,2.0,0.5,2.63,-2.13,0,2022-04-10|Washington Nationals|New York Mets
1,28968,Carlos Carrasco,3.967,1.329,9.0,2.428,3.707,0.881,152.0,0.2357,2.2,5.3,1.35,5.0,4,0,2022,2022-04-10,3.51,3.0,2.35,0.65,0,2022-04-10|Washington Nationals|New York Mets
9,32582,Hyun Jin Ryu,5.667,1.333,5.333,1.333,4.0,0.86,27.0,0.1416,3.15,5.93,0.74,2.96,4,1,2022,2022-04-10,5.01,4.5,3.75,0.75,1,2022-04-10|Toronto Blue Jays|Texas Rangers
6,41072,Spencer Howard,7.5,1.747,7.742,3.629,2.133,0.679,37.2,0.1788,4.17,6.72,2.02,4.3,4,0,2022,2022-04-10,7.5,6.0,5.22,0.78,0,2022-04-10|Toronto Blue Jays|Texas Rangers
13,41201,Kris Bubic,5.581,1.698,7.674,4.395,1.746,0.73,129.0,0.1874,3.1,6.05,2.44,4.26,4,1,2022,2022-04-10,2.0,1.0,2.65,-1.65,1,2022-04-10|Kansas City Royals|Cleveland Guardians
2,39875,Cal Quantrill,3.385,1.209,6.19,2.273,2.723,0.736,186.1,0.1662,1.88,4.78,1.26,3.44,4,0,2022,2022-04-10,8.48,6.49,3.08,3.41,0,2022-04-10|Kansas City Royals|Cleveland Guardians
4,3107919,Bailey Ober,3.214,1.054,8.196,1.768,4.636,0.417,56.0,0.2247,1.79,4.29,0.98,4.55,4,1,2022,2022-04-10,9.94,7.95,3.42,4.53,0,2022-04-10|Minnesota Twins|Seattle Mariners
8,33158,Marco Gonzales,4.131,1.333,5.066,2.459,2.06,0.75,183.0,0.1315,2.3,5.3,1.37,2.81,4,0,2022,2022-04-10,3.99,3.98,2.74,1.24,1,2022-04-10|Minnesota Twins|Seattle Mariners
7,33106,Steven Matz,5.25,1.25,10.125,1.875,5.4,0.621,48.0,0.2609,2.92,5.21,1.04,5.62,4,1,2022,2022-04-10,5.01,4.0,3.37,0.63,1,2022-04-10|St. Louis Cardinals|Pittsburgh Pirates
3,40922,Bryse Wilson,5.547,1.424,6.172,2.5,2.469,1.081,115.2,0.1552,3.08,5.73,1.39,3.43,4,0,2022,2022-04-10,5.49,4.49,3.68,0.81,0,2022-04-10|St. Louis Cardinals|Pittsburgh Pirates
1,32815,Marcus Stroman,3.517,1.151,7.75,2.344,3.306,1.081,138.2,0.2091,1.95,4.45,1.3,4.31,4,1,2022,2022-04-10,6.5,5.0,2.7,2.3,0,2022-04-10|Chicago Cubs|Milwaukee Brewers
3,39825,Freddy Peralta,3.577,1.038,9.923,3.115,3.185,0.661,78.0,0.2713,1.99,3.46,1.73,5.51,4,0,2022,2022-04-10,2.5,0.5,1.39,-0.89,0,2022-04-10|Chicago Cubs|Milwaukee Brewers
4,33750,Antonio Senzatela,5.081,1.694,5.277,2.248,2.348,1.03,92.1,0.1308,2.82,7.22,1.25,2.93,4,1,2022,2022-04-10,5.99,4.0,3.27,0.73,0,2022-04-10|Colorado Rockies|Los Angeles Dodgers
