first_5_runs_allowed,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,is_home,year,date,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,is_lhp,game_key
5,Dean Kremer,4.129,1.312,8.206,2.875,2.855,0.671,172.2,0.2136,1,2023,2023-09-11,5.1,2.86,2.4,0.46,0,2023-09-11|Baltimore Orioles|St. Louis Cardinals
1,Patrick Corbin,5.2,1.483,6.2,2.85,2.175,0.828,180.0,0.157,0,2023,2023-09-11,4.89,2.76,2.97,-0.21,1,2023-09-11|Pittsburgh Pirates|Washington Nationals
3,Chris Bassitt,3.6,1.175,8.37,2.655,3.153,0.751,200.0,0.2252,1,2023,2023-09-11,4.43,2.33,1.95,0.38,0,2023-09-11|Toronto Blue Jays|Texas Rangers
3,Zach Davies,7.016,1.669,7.893,4.275,1.846,0.796,82.1,0.191,0,2023,2023-09-11,4.19,2.23,3.82,-1.59,0,2023-09-11|New York Mets|Arizona Diamondbacks
0,Clarke Schmidt,4.642,1.352,8.434,2.604,3.239,0.775,159.0,0.2147,0,2023,2023-09-11,4.6,2.57,2.6,-0.03,0,2023-09-11|Boston Red Sox|New York Yankees
0,Brandon Woodruff,2.284,0.821,9.94,2.015,4.933,0.594,67.0,0.2925,1,2023,2023-09-11,4.43,2.37,1.23,1.14,0,2023-09-11|Milwaukee Brewers|Miami Marlins
6,Jesus Luzardo,3.586,1.218,10.505,2.778,3.782,0.698,178.2,0.2807,0,2023,2023-09-11,3.89,2.21,1.91,0.3,1,2023-09-11|Milwaukee Brewers|Miami Marlins
5,Sonny Gray,2.788,1.147,8.951,2.69,3.327,0.925,184.0,0.2427,1,2023,2023-09-11,4.03,2.34,1.5,0.84,0,2023-09-11|Minnesota Twins|Tampa Bay Rays
2,Framber Valdez,3.455,1.126,9.091,2.591,3.509,1.231,198.0,0.2475,1,2023,2023-09-12,5.84,3.35,2.17,1.18,1,2023-09-12|Houston Astros|Oakland Athletics
2,Kyle Freeland,5.045,1.476,5.451,2.436,2.238,0.693,155.2,0.1388,1,2023,2023-09-12,4.49,2.61,2.84,-0.23,1,2023-09-12|Colorado Rockies|Chicago Cubs
3,Logan Gilbert,3.738,1.078,8.943,1.703,5.25,0.729,190.2,0.2455,1,2023,2023-09-12,4.96,2.61,2.11,0.5,0,2023-09-12|Seattle Mariners|Los Angeles Angels
2,Alex Cobb,3.872,1.324,7.803,2.204,3.541,1.372,151.1,0.2028,1,2023,2023-09-12,4.33,2.36,2.11,0.25,0,2023-09-12|San Francisco Giants|Cleveland Guardians
1,Dylan Cease,4.576,1.418,10.881,4.017,2.709,0.582,177.0,0.273,1,2023,2023-09-12,5.18,2.91,2.67,0.24,0,2023-09-12|Chicago White Sox|Kansas City Royals
1,Bailey Falter,5.387,1.421,6.733,2.244,3.0,0.679,80.2,0.1729,1,2023,2023-09-12,4.99,2.85,3.1,-0.25,1,2023-09-12|Pittsburgh Pirates|Washington Nationals
6,Zack Wheeler,3.609,1.078,9.938,1.828,5.436,0.7,192.0,0.2694,1,2023,2023-09-12,4.34,2.43,1.98,0.45,0,2023-09-12|Philadelphia Phillies|Atlanta Braves
1,Max Fried,2.565,1.14,9.326,2.098,4.444,1.453,77.2,0.2572,0,2023,2023-09-12,4.22,2.59,1.45,1.14,1,2023-09-12|Philadelphia Phillies|Atlanta Braves
5,Joey Wentz,6.93,1.692,8.384,4.021,2.085,0.584,105.2,0.1992,1,2023,2023-09-12,4.96,2.93,3.98,-1.05,1,2023-09-12|Detroit Tigers|Cincinnati Reds
0,Max Scherzer,3.784,1.124,10.289,2.661,3.867,0.508,152.2,0.2802,0,2023,2023-09-12,4.03,2.37,2.06,0.31,0,2023-09-12|Toronto Blue Jays|Texas Rangers
2,Joe Ryan,4.522,1.172,10.999,1.898,5.794,0.495,161.2,0.2932,1,2023,2023-09-12,4.03,2.34,2.46,-0.12,0,2023-09-12|Minnesota Twins|Tampa Bay Rays
8,Patrick Sandoval,4.119,1.519,7.989,4.619,1.73,0.886,144.2,0.1963,0,2023,2023-09-13,4.1,2.38,2.25,0.12,1,2023-09-13|Seattle Mariners|Los Angeles Angels
1,Cal Quantrill,5.262,1.472,5.262,3.175,1.657,0.678,99.2,0.1306,0,2023,2023-09-13,4.29,2.43,2.9,-0.47,0,2023-09-13|San Francisco Giants|Cleveland Guardians
